HTAB
--WELL	DATE	qo	qw	qinj	wefa	thp	bhp
216BTM	01.09.1990	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.10.1990	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.11.1990	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.12.1990	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.01.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.02.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.03.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.04.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.05.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.06.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.07.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.08.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.09.1991	0.000	0.000	0.000	0.000	0.0	0.0
216BTM	01.10.1991	7.121	0.000	0.000	0.010	0.0	0.0
216BTM	01.11.1991	3.765	0.195	0.000	0.860	0.0	103.3
216BTM	01.12.1991	3.774	0.217	0.000	1.000	0.0	93.7
216BTM	01.01.1992	3.910	0.213	0.000	0.510	0.0	0.0
216BTM	01.02.1992	3.920	0.203	0.000	1.000	0.0	0.0
216BTM	01.03.1992	3.774	0.190	0.000	1.000	0.0	0.0
216BTM	01.04.1992	3.753	0.280	0.000	1.000	121.1	0.0
216BTM	01.05.1992	3.525	0.298	0.000	1.000	121.0	0.0
216BTM	01.06.1992	3.679	0.389	0.000	0.360	0.0	77.0
216BTM	01.07.1992	3.659	0.602	0.000	0.720	0.0	74.6
216BTM	01.08.1992	3.221	0.581	0.000	0.420	0.0	70.9
216BTM	01.09.1992	4.039	0.396	0.000	0.920	0.0	0.0
216BTM	01.10.1992	3.739	0.678	0.000	1.000	0.0	76.6
216BTM	01.11.1992	4.032	0.422	0.000	0.730	110.4	0.0
216BTM	01.12.1992	4.130	0.217	0.000	1.000	0.0	0.0
216BTM	01.01.1993	4.166	0.217	0.000	1.000	0.0	0.0
216BTM	01.02.1993	3.942	0.210	0.000	1.000	99.9	0.0
216BTM	01.03.1993	3.774	0.190	0.000	1.000	0.0	0.0
216BTM	01.04.1993	3.532	0.392	0.000	1.000	0.0	0.0
216BTM	01.05.1993	3.699	0.422	0.000	0.770	99.3	0.0
216BTM	01.06.1993	3.716	0.420	0.000	1.000	0.0	79.9
