HTAB
--WELL	DATE	qo	qw	qinj	wefa	thp	bhp
216¡“Ã	01.09.2012	3.992	0.373	0.000	1.000	0	0
216¡“Ã	01.10.2012	4.073	0.366	0.000	1.000	0	0
216¡“Ã	01.11.2012	4.035	0.319	0.000	0.993	0	0
220¡“Ã	01.09.2012	0.408	0.076	0.000	1.000	0	0
220¡“Ã	01.10.2012	0.417	0.084	0.000	1.000	0	0
220¡“Ã	01.11.2012	0.426	0.079	0.000	0.993	0	0
224¡“Ã	01.09.2012	0.000	0.000	43.640	0.833	0	0
224¡“Ã	01.10.2012	0.000	0.000	45.903	1.000	0	0
224¡“Ã	01.11.2012	0.000	0.000	35.800	1.000	0	0
225¡“Ã	01.09.2012	0.483	1.498	0.000	0.815	0	0
225¡“Ã	01.10.2012	0.613	2.894	0.000	0.290	0	0
225¡“Ã	01.11.2012	0.493	1.498	0.000	0.993	0	0
3405	01.09.2012	9.746	5.050	0.000	1.000	0	0
3405	01.10.2012	9.373	4.736	0.000	0.984	0	0
3405	01.11.2012	9.225	4.235	0.000	0.988	0	0
3406	01.09.2012	0.000	0.000	104.760	0.833	0	0
3406	01.10.2012	0.000	0.000	94.677	1.000	0	0
3406	01.11.2012	0.000	0.000	89.467	1.000	0	0
3410	01.09.2012	19.010	4.778	0.000	0.244	0	0
3410	01.10.2012	21.623	3.703	0.000	1.000	0	0
3410	01.11.2012	21.507	3.563	0.000	0.993	0	0
3577	01.09.2012	2.472	3.678	0.000	1.000	0	0
3577	01.10.2012	2.517	3.462	0.000	0.242	0	0
3577	01.11.2012	2.615	3.150	0.000	0.976	0	0
3578	01.09.2012	11.118	3.101	0.000	1.000	0	0
3578	01.10.2012	11.386	3.208	0.000	0.992	0	0
3578	01.11.2012	11.472	3.202	0.000	0.988	0	0
3579	01.09.2012	8.974	4.627	0.000	1.000	0	0
3579	01.10.2012	7.733	5.605	0.000	0.997	0	0
3579	01.11.2012	7.803	4.826	0.000	0.993	0	0
3580	01.09.2012	7.660	1.331	0.000	1.000	0	0
3580	01.10.2012	7.491	1.345	0.000	0.992	0	0
3580	01.11.2012	18.645	4.402	0.000	0.144	0	0
3581	01.09.2012	9.180	6.625	0.000	1.000	0	0
3581	01.10.2012	8.222	6.091	0.000	0.997	0	0
3581	01.11.2012	7.887	4.890	0.000	0.988	0	0
3582	01.09.2012	18.216	8.541	0.000	1.000	0	0
3582	01.10.2012	18.621	8.959	0.000	1.000	0	0
3582	01.11.2012	18.986	8.938	0.000	0.988	0	0
3583	01.09.2012	6.818	2.168	0.000	1.000	0	0
3583	01.10.2012	7.336	2.112	0.000	0.828	0	0
3583	01.11.2012	7.332	2.200	0.000	0.993	0	0
3584	01.09.2012	0.159	1.711	0.000	0.997	0	0
3584	01.10.2012	0.132	1.748	0.000	1.000	0	0
3584	01.11.2012	0.221	1.681	0.000	0.017	0	0
3585	01.09.2012	13.850	1.784	0.000	0.997	0	0
3585	01.10.2012	15.225	2.680	0.000	0.989	0	0
3585	01.11.2012	15.417	2.837	0.000	0.988	0	0
3586	01.09.2012	0.000	0.000	27.080	0.833	0	0
3586	01.10.2012	0.000	0.000	25.258	1.000	0	0
3586	01.11.2012	0.000	0.000	29.867	1.000	0	0
3587	01.09.2012	11.155	2.129	0.000	1.000	0	0
3587	01.10.2012	11.144	1.774	0.000	0.995	0	0
3587	01.11.2012	11.300	1.814	0.000	0.993	0	0
3588	01.09.2012	0.000	0.000	70.320	0.833	0	0
3588	01.10.2012	0.000	0.000	81.258	1.000	0	0
3588	01.11.2012	0.000	0.000	78.200	1.000	0	0
3613	01.09.2012	9.204	1.065	0.000	0.986	0	0
3613	01.10.2012	8.944	1.477	0.000	0.978	0	0
3613	01.11.2012	8.807	1.560	0.000	0.993	0	0
3631	01.09.2012	0.442	0.053	0.000	1.000	0	0
3631	01.10.2012	0.449	0.052	0.000	1.000	0	0
3631	01.11.2012	0.459	0.045	0.000	0.993	0	0
3632	01.09.2012	0.000	0.000	0.000	0.000	0	0
3632	01.10.2012	0.000	0.000	0.000	0.000	0	0
3632	01.11.2012	0.000	0.000	0.000	0.000	0	0
3633	01.09.2012	6.575	0.535	0.000	1.000	0	0
3633	01.10.2012	6.509	0.805	0.000	1.000	0	0
3633	01.11.2012	6.187	0.705	0.000	0.993	0	0
3635	01.09.2012	0.000	0.000	40.000	1.000	0	0
3635	01.10.2012	0.000	0.000	42.903	1.000	0	0
3635	01.11.2012	0.000	0.000	55.333	1.000	0	0
3642	01.09.2012	0.000	0.000	26.063	0.840	0	0
3642	01.10.2012	0.000	0.000	26.966	0.957	0	0
3642	01.11.2012	0.000	0.000	30.133	1.000	0	0
3643	01.09.2012	1.858	0.790	0.000	1.000	0	0
3643	01.10.2012	1.606	0.838	0.000	1.000	0	0
3643	01.11.2012	1.726	0.877	0.000	0.993	0	0
3645	01.09.2012	6.555	2.758	0.000	0.325	0	0
3645	01.10.2012	13.494	4.161	0.000	1.000	0	0
3645	01.11.2012	12.374	2.767	0.000	0.993	0	0
3646	01.09.2012	20.655	2.347	0.000	1.000	0	0
3646	01.10.2012	21.128	2.465	0.000	0.938	0	0
3646	01.11.2012	21.451	2.178	0.000	0.993	0	0
3649	01.09.2012	6.233	1.045	0.000	1.000	0	0
3649	01.10.2012	6.420	1.068	0.000	1.000	0	0
3649	01.11.2012	9.620	1.086	0.000	0.671	0	0
3650	01.09.2012	0.000	0.000	78.100	1.000	0	0
3650	01.10.2012	0.000	0.000	75.161	1.000	0	0
3650	01.11.2012	0.000	0.000	75.200	1.000	0	0
 /
